                                                                                  Qwen3_5MoeForCausalLM
model                                                                             Qwen3_5MoeTextModel
model.layers.21.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.21.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.21.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.21.mlp.experts.act_fn                                                SiLUActivation
model.layers.21.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.21.mlp.shared_expert.gate_proj                                       Linear
model.layers.21.mlp.shared_expert.up_proj                                         Linear
model.layers.21.mlp.shared_expert.down_proj                                       Linear
model.layers.21.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.21.mlp.shared_expert_gate                                            Linear
model.layers.21.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.21.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.22                                                                   Qwen3_5MoeDecoderLayer
model.layers.22.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.22.linear_attn.act                                                   SiLUActivation
model.layers.22.linear_attn.conv1d                                                Conv1d
model.layers.22.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.22.linear_attn.out_proj                                              Linear
model.layers.22.linear_attn.in_proj_qkv                                           Linear
model.layers.22.linear_attn.in_proj_z                                             Linear
model.layers.22.linear_attn.in_proj_b                                             Linear
model.layers.22.linear_attn.in_proj_a                                             Linear
model.layers.22.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.22.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.22.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.22.mlp.experts.act_fn                                                SiLUActivation
model.layers.22.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.22.mlp.shared_expert.gate_proj                                       Linear
model.layers.22.mlp.shared_expert.up_proj                                         Linear
model.layers.22.mlp.shared_expert.down_proj                                       Linear
model.layers.22.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.22.mlp.shared_expert_gate                                            Linear
model.layers.22.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.22.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.23                                                                   Qwen3_5MoeDecoderLayer
model.layers.23.self_attn                                                         Qwen3_5MoeAttention
model.layers.23.self_attn.q_proj                                                  Linear
model.layers.23.self_attn.k_proj                                                  Linear
model.layers.23.self_attn.v_proj                                                  Linear
model.layers.23.self_attn.o_proj                                                  Linear
model.layers.23.self_attn.q_norm                                                  Qwen3_5MoeRMSNorm
model.layers.23.self_attn.k_norm                                                  Qwen3_5MoeRMSNorm
model.layers.23.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.23.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.23.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.23.mlp.experts.act_fn                                                SiLUActivation
model.layers.23.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.23.mlp.shared_expert.gate_proj                                       Linear
model.layers.23.mlp.shared_expert.up_proj                                         Linear
model.layers.23.mlp.shared_expert.down_proj                                       Linear
model.layers.23.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.23.mlp.shared_expert_gate                                            Linear
model.layers.23.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.23.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.24                                                                   Qwen3_5MoeDecoderLayer
model.layers.24.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.24.linear_attn.act                                                   SiLUActivation
model.layers.24.linear_attn.conv1d                                                Conv1d
model.layers.24.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.24.linear_attn.out_proj                                              Linear
model.layers.24.linear_attn.in_proj_qkv                                           Linear
model.layers.24.linear_attn.in_proj_z                                             Linear
model.layers.24.linear_attn.in_proj_b                                             Linear
model.layers.24.linear_attn.in_proj_a                                             Linear
model.layers.24.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.24.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.24.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.24.mlp.experts.act_fn                                                SiLUActivation
model.layers.24.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.24.mlp.shared_expert.gate_proj                                       Linear
model.layers.24.mlp.shared_expert.up_proj                                         Linear
model.layers.24.mlp.shared_expert.down_proj                                       Linear
model.layers.24.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.24.mlp.shared_expert_gate                                            Linear
model.layers.24.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.24.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.25                                                                   Qwen3_5MoeDecoderLayer
model.layers.25.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.25.linear_attn.act                                                   SiLUActivation
model.layers.25.linear_attn.conv1d                                                Conv1d
model.layers.25.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.25.linear_attn.out_proj                                              Linear
model.layers.25.linear_attn.in_proj_qkv                                           Linear
model.layers.25.linear_attn.in_proj_z                                             Linear
model.layers.25.linear_attn.in_proj_b                                             Linear
model.layers.25.linear_attn.in_proj_a                                             Linear
model.layers.25.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.25.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.25.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.25.mlp.experts.act_fn                                                SiLUActivation
model.layers.25.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.25.mlp.shared_expert.gate_proj                                       Linear
model.layers.25.mlp.shared_expert.up_proj                                         Linear
model.layers.25.mlp.shared_expert.down_proj                                       Linear
model.layers.25.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.25.mlp.shared_expert_gate                                            Linear
model.layers.25.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.25.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.26                                                                   Qwen3_5MoeDecoderLayer
model.layers.26.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.26.linear_attn.act                                                   SiLUActivation
model.layers.26.linear_attn.conv1d                                                Conv1d
model.layers.26.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.26.linear_attn.out_proj                                              Linear
model.layers.26.linear_attn.in_proj_qkv                                           Linear
model.layers.26.linear_attn.in_proj_z                                             Linear
model.layers.26.linear_attn.in_proj_b                                             Linear
model.layers.26.linear_attn.in_proj_a                                             Linear
model.layers.26.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.26.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.26.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.26.mlp.experts.act_fn                                                SiLUActivation
model.layers.26.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.26.mlp.shared_expert.gate_proj                                       Linear
model.layers.26.mlp.shared_expert.up_proj                                         Linear
model.layers.26.mlp.shared_expert.down_proj                                       Linear
model.layers.26.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.26.mlp.shared_expert_gate                                            Linear
model.layers.26.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.26.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.27                                                                   Qwen3_5MoeDecoderLayer
model.layers.27.self_attn                                                         Qwen3_5MoeAttention
model.layers.27.self_attn.q_proj                                                  Linear
model.layers.27.self_attn.k_proj                                                  Linear
model.layers.27.self_attn.v_proj                                                  Linear
model.layers.27.self_attn.o_proj                                                  Linear
model.layers.27.self_attn.q_norm                                                  Qwen3_5MoeRMSNorm
model.layers.27.self_attn.k_norm                                                  Qwen3_5MoeRMSNorm
model.layers.27.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.27.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.27.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.27.mlp.experts.act_fn                                                SiLUActivation
model.layers.27.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.27.mlp.shared_expert.gate_proj                                       Linear
model.layers.27.mlp.shared_expert.up_proj                                         Linear
model.layers.27.mlp.shared_expert.down_proj                                       Linear
model.layers.27.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.27.mlp.shared_expert_gate                                            Linear
model.layers.27.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.27.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.28                                                                   Qwen3_5MoeDecoderLayer
model.layers.28.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.28.linear_attn.act                                                   SiLUActivation
model.layers.28.linear_attn.conv1d                                                Conv1d
model.layers.28.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.28.linear_attn.out_proj                                              Linear
model.layers.28.linear_attn.in_proj_qkv                                           Linear
model.layers.28.linear_attn.in_proj_z                                             Linear
model.layers.28.linear_attn.in_proj_b                                             Linear
model.layers.28.linear_attn.in_proj_a                                             Linear
model.layers.28.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.28.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.28.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.28.mlp.experts.act_fn                                                SiLUActivation
model.layers.28.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.28.mlp.shared_expert.gate_proj                                       Linear
model.layers.28.mlp.shared_expert.up_proj                                         Linear
model.layers.28.mlp.shared_expert.down_proj                                       Linear
model.layers.28.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.28.mlp.shared_expert_gate                                            Linear
model.layers.28.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.28.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.29                                                                   Qwen3_5MoeDecoderLayer
model.layers.29.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.29.linear_attn.act                                                   SiLUActivation
model.layers.29.linear_attn.conv1d                                                Conv1d
model.layers.29.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.29.linear_attn.out_proj                                              Linear
model.layers.29.linear_attn.in_proj_qkv                                           Linear
model.layers.29.linear_attn.in_proj_z                                             Linear
model.layers.29.linear_attn.in_proj_b                                             Linear
model.layers.29.linear_attn.in_proj_a                                             Linear
model.layers.29.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.29.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.29.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.29.mlp.experts.act_fn                                                SiLUActivation
model.layers.29.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.29.mlp.shared_expert.gate_proj                                       Linear
model.layers.29.mlp.shared_expert.up_proj                                         Linear
model.layers.29.mlp.shared_expert.down_proj                                       Linear
model.layers.29.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.29.mlp.shared_expert_gate                                            Linear
model.layers.29.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.29.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.30                                                                   Qwen3_5MoeDecoderLayer
model.layers.30.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.30.linear_attn.act                                                   SiLUActivation
model.layers.30.linear_attn.conv1d                                                Conv1d
model.layers.30.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.30.linear_attn.out_proj                                              Linear
model.layers.30.linear_attn.in_proj_qkv                                           Linear
model.layers.30.linear_attn.in_proj_z                                             Linear
model.layers.30.linear_attn.in_proj_b                                             Linear
model.layers.30.linear_attn.in_proj_a                                             Linear
model.layers.30.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.30.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.30.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.30.mlp.experts.act_fn                                                SiLUActivation
model.layers.30.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.30.mlp.shared_expert.gate_proj                                       Linear
model.layers.30.mlp.shared_expert.up_proj                                         Linear
model.layers.30.mlp.shared_expert.down_proj                                       Linear
model.layers.30.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.30.mlp.shared_expert_gate                                            Linear
model.layers.30.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.30.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.31                                                                   Qwen3_5MoeDecoderLayer
model.layers.31.self_attn                                                         Qwen3_5MoeAttention
model.layers.31.self_attn.q_proj                                                  Linear
model.layers.31.self_attn.k_proj                                                  Linear
model.layers.31.self_attn.v_proj                                                  Linear
model.layers.31.self_attn.o_proj                                                  Linear
model.layers.31.self_attn.q_norm                                                  Qwen3_5MoeRMSNorm
model.layers.31.self_attn.k_norm                                                  Qwen3_5MoeRMSNorm
model.layers.31.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.31.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.31.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.31.mlp.experts.act_fn                                                SiLUActivation
model.layers.31.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.31.mlp.shared_expert.gate_proj                                       Linear
model.layers.31.mlp.shared_expert.up_proj                                         Linear
model.layers.31.mlp.shared_expert.down_proj                                       Linear
model.layers.31.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.31.mlp.shared_expert_gate                                            Linear
model.layers.31.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.31.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.32                                                                   Qwen3_5MoeDecoderLayer
model.layers.32.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.32.linear_attn.act                                                   SiLUActivation
model.layers.32.linear_attn.conv1d                                                Conv1d
model.layers.32.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.32.linear_attn.out_proj                                              Linear
model.layers.32.linear_attn.in_proj_qkv                                           Linear
model.layers.32.linear_attn.in_proj_z                                             Linear
model.layers.32.linear_attn.in_proj_b                                             Linear
model.layers.32.linear_attn.in_proj_a                                             Linear
model.layers.32.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.32.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.32.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.32.mlp.experts.act_fn                                                SiLUActivation
model.layers.32.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.32.mlp.shared_expert.gate_proj                                       Linear
model.layers.32.mlp.shared_expert.up_proj                                         Linear
model.layers.32.mlp.shared_expert.down_proj                                       Linear
model.layers.32.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.32.mlp.shared_expert_gate                                            Linear
model.layers.32.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.32.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.33                                                                   Qwen3_5MoeDecoderLayer
model.layers.33.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.33.linear_attn.act                                                   SiLUActivation
model.layers.33.linear_attn.conv1d                                                Conv1d
model.layers.33.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.33.linear_attn.out_proj                                              Linear
model.layers.33.linear_attn.in_proj_qkv                                           Linear
model.layers.33.linear_attn.in_proj_z                                             Linear
model.layers.33.linear_attn.in_proj_b                                             Linear
model.layers.33.linear_attn.in_proj_a                                             Linear
model.layers.33.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.33.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.33.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.33.mlp.experts.act_fn                                                SiLUActivation
model.layers.33.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.33.mlp.shared_expert.gate_proj                                       Linear
model.layers.33.mlp.shared_expert.up_proj                                         Linear
model.layers.33.mlp.shared_expert.down_proj                                       Linear
model.layers.33.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.33.mlp.shared_expert_gate                                            Linear
model.layers.33.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.33.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.34                                                                   Qwen3_5MoeDecoderLayer
model.layers.34.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.34.linear_attn.act                                                   SiLUActivation
model.layers.34.linear_attn.conv1d                                                Conv1d
model.layers.34.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.34.linear_attn.out_proj                                              Linear
model.layers.34.linear_attn.in_proj_qkv                                           Linear
model.layers.34.linear_attn.in_proj_z                                             Linear
model.layers.34.linear_attn.in_proj_b                                             Linear
model.layers.34.linear_attn.in_proj_a                                             Linear
model.layers.34.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.34.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.34.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.34.mlp.experts.act_fn                                                SiLUActivation
model.layers.34.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.34.mlp.shared_expert.gate_proj                                       Linear
model.layers.34.mlp.shared_expert.up_proj                                         Linear
model.layers.34.mlp.shared_expert.down_proj                                       Linear
model.layers.34.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.34.mlp.shared_expert_gate                                            Linear
model.layers.34.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.34.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.35                                                                   Qwen3_5MoeDecoderLayer
model.layers.35.self_attn                                                         Qwen3_5MoeAttention
model.layers.35.self_attn.q_proj                                                  Linear
model.layers.35.self_attn.k_proj                                                  Linear
model.layers.35.self_attn.v_proj                                                  Linear
model.layers.35.self_attn.o_proj                                                  Linear
model.layers.35.self_attn.q_norm                                                  Qwen3_5MoeRMSNorm
model.layers.35.self_attn.k_norm                                                  Qwen3_5MoeRMSNorm
model.layers.35.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.35.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.35.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.35.mlp.experts.act_fn                                                SiLUActivation
model.layers.35.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.35.mlp.shared_expert.gate_proj                                       Linear
model.layers.35.mlp.shared_expert.up_proj                                         Linear
model.layers.35.mlp.shared_expert.down_proj                                       Linear
model.layers.35.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.35.mlp.shared_expert_gate                                            Linear
model.layers.35.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.35.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.36                                                                   Qwen3_5MoeDecoderLayer
model.layers.36.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.36.linear_attn.act                                                   SiLUActivation
model.layers.36.linear_attn.conv1d                                                Conv1d
model.layers.36.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.36.linear_attn.out_proj                                              Linear
model.layers.36.linear_attn.in_proj_qkv                                           Linear
model.layers.36.linear_attn.in_proj_z                                             Linear
model.layers.36.linear_attn.in_proj_b                                             Linear
model.layers.36.linear_attn.in_proj_a                                             Linear
model.layers.36.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.36.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.36.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.36.mlp.experts.act_fn                                                SiLUActivation
model.layers.36.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.36.mlp.shared_expert.gate_proj                                       Linear
model.layers.36.mlp.shared_expert.up_proj                                         Linear
model.layers.36.mlp.shared_expert.down_proj                                       Linear
model.layers.36.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.36.mlp.shared_expert_gate                                            Linear
model.layers.36.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.36.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.37                                                                   Qwen3_5MoeDecoderLayer
model.layers.37.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.37.linear_attn.act                                                   SiLUActivation
model.layers.37.linear_attn.conv1d                                                Conv1d
model.layers.37.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.37.linear_attn.out_proj                                              Linear
model.layers.37.linear_attn.in_proj_qkv                                           Linear
model.layers.37.linear_attn.in_proj_z                                             Linear
model.layers.37.linear_attn.in_proj_b                                             Linear
model.layers.37.linear_attn.in_proj_a                                             Linear
model.layers.37.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.37.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.37.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.37.mlp.experts.act_fn                                                SiLUActivation
model.layers.37.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.37.mlp.shared_expert.gate_proj                                       Linear
model.layers.37.mlp.shared_expert.up_proj                                         Linear
model.layers.37.mlp.shared_expert.down_proj                                       Linear
model.layers.37.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.37.mlp.shared_expert_gate                                            Linear
model.layers.37.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.37.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.38                                                                   Qwen3_5MoeDecoderLayer
model.layers.38.linear_attn                                                       Qwen3_5MoeGatedDeltaNet
model.layers.38.linear_attn.act                                                   SiLUActivation
model.layers.38.linear_attn.conv1d                                                Conv1d
model.layers.38.linear_attn.norm                                                  Qwen3_5MoeRMSNormGated
model.layers.38.linear_attn.out_proj                                              Linear
model.layers.38.linear_attn.in_proj_qkv                                           Linear
model.layers.38.linear_attn.in_proj_z                                             Linear
model.layers.38.linear_attn.in_proj_b                                             Linear
model.layers.38.linear_attn.in_proj_a                                             Linear
model.layers.38.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.38.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.38.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.38.mlp.experts.act_fn                                                SiLUActivation
model.layers.38.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.38.mlp.shared_expert.gate_proj                                       Linear
model.layers.38.mlp.shared_expert.up_proj                                         Linear
model.layers.38.mlp.shared_expert.down_proj                                       Linear
model.layers.38.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.38.mlp.shared_expert_gate                                            Linear
model.layers.38.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.38.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.layers.39                                                                   Qwen3_5MoeDecoderLayer
model.layers.39.self_attn                                                         Qwen3_5MoeAttention
model.layers.39.self_attn.q_proj                                                  Linear
model.layers.39.self_attn.k_proj                                                  Linear
model.layers.39.self_attn.v_proj                                                  Linear
model.layers.39.self_attn.o_proj                                                  Linear
model.layers.39.self_attn.q_norm                                                  Qwen3_5MoeRMSNorm
model.layers.39.self_attn.k_norm                                                  Qwen3_5MoeRMSNorm
model.layers.39.mlp                                                               Qwen3_5MoeSparseMoeBlock
model.layers.39.mlp.gate                                                          Qwen3_5MoeTopKRouter
model.layers.39.mlp.experts                                                       Qwen3_5MoeExperts
model.layers.39.mlp.experts.act_fn                                                SiLUActivation
model.layers.39.mlp.shared_expert                                                 Qwen3_5MoeMLP
model.layers.39.mlp.shared_expert.gate_proj                                       Linear
model.layers.39.mlp.shared_expert.up_proj                                         Linear
model.layers.39.mlp.shared_expert.down_proj                                       Linear
model.layers.39.mlp.shared_expert.act_fn                                          SiLUActivation
model.layers.39.mlp.shared_expert_gate                                            Linear
model.layers.39.input_layernorm                                                   Qwen3_5MoeRMSNorm
model.layers.39.post_attention_layernorm                                          Qwen3_5MoeRMSNorm
model.norm                                                                        Qwen3_5MoeRMSNorm
model.rotary_emb                                                                  Qwen3_5MoeTextRotaryEmbedding
lm_head                                                                           Linear
